Name,In Charge,Industry,Type,Tech,PM,Keep Confidential,confidential title,Country,Ref or website,SA,Member,Files,Summary EN,Summary CN,"Challenges, solutions and results EN","Challenges, solutions and results CN",Kickoff Date,On 4idps Website
Beauty,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C, Service","Design, Digital Publishing",,No,,Taiwan,https://www.beauty321.com,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.40.12_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.40.25_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.40.44_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.41.02_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.41.22_PM.png",Our client is a leading fashion magazine for young women. The goal of this project was to produce their interactive magazine for the iPad / iPhone,Beauty出版的時尚雜誌在年輕女性族群中擁有相當高的市佔率。此專案的目標是要針對iPad / iPhone製作專屬的互動雜誌,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was highly successful in the marketplace and enjoyed extremely high download rates","Challenges挑戰/主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方便/導入過程：我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。

Result: 互動電子雜誌在市場上很成功，下載率也很高。",,Yes
Botervet,Julia,"Fashion&Beauty, Retail",APP,ReactNative,Frans Oilinki,Yes,https://4idps.com/wp-admin/post.php?post=2583&action=edit,Netherlands,https://www.beauty321.com,,"Frans Oilinki, Eva Lin","Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/07.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/09.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/012.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/013.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/014.jpg","Our client is a leading beauty brand from Europe. We were called on to develop an interactive app that allows clients to find their product using a decision tree approach. ",客戶是在歐洲市場領先的美容品牌，此專案的目標是為產品開發APP應用程式，並在購物過程中為客戶提供更好的互動體驗。,"Challenges:
1. There were tens of thousands products, each of which contained exciting visuals; in order to minimise the app size and maximise the speed, we had to produce the visuals inside the app, as opposed to storing such a large number of visuals.
2. We had to develop AI processes to allow people to demonstrate the products on their respective skin tone.
Solutions:
1. We developed the algorithms that allowed us to produce the visuals based on the product code.
2. We defined a certain number of positions and skin tones so as to make the AI process manageable both in terms of size and speed.
Result: The project was delivered on time and to the client's full satisfaction.","Challenges挑戰/主要問題: 
1. 越來越多的用戶通過智慧型手機購買或瀏覽商品，APP能夠更為貼近用戶提供更好的購物體驗。
2. 從網路上購買指甲油的人想知道不同的膚色實際上手的顏色如何。
Solution 解決方便/導入過程：我們在APP中導入了互動的功能，讓客戶在購買產品之前可以預覽不同顏色並且查看外觀和感覺。
Result成效： 我們在時程內將項目交付給歐洲客戶。",,Yes
Car News,Corrado,"Automotive, Media & Entertainment","APP, B2C, CMS, Data Analysis, Maintenance, Service, eCommerce","Design, Digital Publishing",,No,,Taiwan,,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.19.33_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.20.50_PM.png",Our client is Taiwan's leading car / tuning magazine. The goal of this project was to produce their interactive magazine for the iPad / iPhone,Car News 是台灣領先的汽車/改裝雜誌。這個專案的目標是針對 iPad / iPhone 製作專屬的互動雜誌。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed extremely high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it","Challenges挑戰/主要問題:  1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對雜誌製作了2個設計。

Solution 解決方便/導入過程：我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。

Result成效： 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載",,Yes
Cashme,"Corrado
","B2C, Financial Services","APP, B2C, Data Analysis, Website","NodeJS, React, ReactNative",,No,,Taiwan,https://www.cashme.com.tw,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture6.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture5.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture4.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture3.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture2.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture1.png","Our client is a leading Taiwan-based credit institution. The project entailed automating the credit approval processes, including the development of databases incorporating machine learning to automate the credit scoring process. In addition, an app was developed for applicants to apply for credits, upload their application data and documents, and to follow up on the status of their application",Cashme 是一家領先的台灣信貸機構。該專案需要將信用申請流程自動化，需要開發結合機器學習的數據庫，以實現信用評分流程自動化。此外，我們還開發了一款應用程式供申請人申請貸款，並且在他們上傳申請文件後可以直接在APP上追蹤申請狀態。,"Challenges:
1. Main challenge: creating the system from scratch, as the entire process was purely manual.
2. integrating multiple third-party API’s, some of which we had to produce ourselves.
Solutions:
1. we had to study the client's existing processes, and create databases that allow to store and interpret such processes.
2. Considering the complexity of the system, continuous testing was of utmost importance. We assigned 2 people to this task on an almost full-time basis to develop various usage scenarios and testing on those scenarios as the development was advancing.
Result: The system was developed on time and in the required quality, and handed over to our client to their full satisfaction.","挑戰： 1. 主要挑戰：從零開始創建系統 2. 集成多個第三方 API，其中有一些必須透過我們自己生成。
Solution 解決方便/導入過程：
解決方案： 1. 我們必須在研究客戶的現有流程後，開發能夠儲存和處理此流程的數據庫。 2. 考慮到系統的複雜度，我們必須不斷測試，我們更全職分派了 2位開發人員以針對各種使用場景進行開發，並隨著開發的推進持續對場景進行測試。
Result:我們在時程內按時按質交付給客戶。
",,Yes
Caviale Adamas,Corrado,Retail,Website,"Design, Wix",Corrado von Planta,No,,Italy,https://www.adamas.com.tw,,Corrado von Planta,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.28.49_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.29.06_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.29.24_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.29.43_PM.png",Our client is one of Italy's leading caviar producers. The Taiwan distributor needed a website to promote the caviar in Taiwan,我們的客戶是在意大利領先的魚子醬製造商之一。需要台灣的經銷商在台灣架設一個網站來推銷魚子醬。,"Challenges:
1) considering that the site is bilingual, in addition to design, we needed to make sure that the SEO is optimised in both languages.
2) we needed to assure that the client can easily update the site themselves once it is online, so we needed to use a CRM that is very user friendly, while permitting for striking design
Solution: We created 2 separate sites to assure maximum efficiency of each language version.
Result: the site drastically improved the brand's online presence and traffic, while maintaining the brand owners' core values","挑戰： 1）考慮到網站是雙語的，除了設計之外，我們還需要確保針對兩種語言進行SEO優化。
2）客戶在網站上線後將也需要自行維護網站，因此我們需要使用易於操作的CRM外，同時兼顧設計的品質。
Solution 解決方便/導入過程：我們分別建立兩個語言的網站並確保兩個網站能夠極大化SEO的效益
Result : 該網站有效提升品牌網路形象和網站流量，並體現了業主的核心價值",,Yes
Cheesecake,Amos,"B2C, Food, Retail","Salesforce, Service cloud, eCommerce","Line integration, Membership system",Amos Chuang,No,,Taiwan,https://www.pincheesecake.com/,Amos Chuang,,,"Our client is a start-up which sells food in-store and online. The goal of the project was to develop a LINE BOT to boost sales, and to integrate it in Salesforce.",客戶是一家在店內和線上銷售食品的新創公司。專案的目標是開發 LINE BOT 以促進銷售，並將LineBOT與Salesforce整合。,"Challenge:
The LINE BOT on Salesforce needed functions such as keywords, automatic replies, message templates, push messages, dialogue scripts, tags, online ordering, etc. At the same time, it combines business logic to create a brand new sales channel.
Solution:
We built a custom-made line BOT from scratch and it is still in use without problems, several years after the initial implementation
Result:
One year after the project was completed, overall revenue increased by 13%","Challenges:
在電子商務蓬勃發展下，除了實體、網路門市外，他們想增加銷售通路，以此增加營收
Solution:
在Salesforce上開發LINE BOT，擁有關鍵字、自動回覆、訊息模板、推播訊息、對話腳本、標籤、網路下單等等功能，同時結合商業邏輯，打造一個全新的銷售通路
Result:
在專案完成一年後，整體營收增加了13%",,Yes
Chung Yo(中佑),Amos,"Gambling, Gaming, Software","Internal, Salesforce, Tableau, Website","Apex, Visualforce",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=2627&action=edit,Taiwan,,Amos Chuang,"Amos Chuang, Jin Yen",,"Our client is a well-established gambling and game development company in Taiwan.
The goal of the project was to develop a service management platform which integrates all of the internal data in one place, in order to manage and organize customer requests more efficiently.",客戶是台灣一家成熟的賭博和遊戲開發公司，專案的任務是開發一個客服系統管理平台，並與所有內部數據整合，以便更有效地管理和組織客戶請求。,"Challenge:
Our customer did not have a centralised customer service system, and the customer information were scattered over various databases. The KPIs of customer service personnel could not be effectively analyzed. This resulted in low service quality, increasing rates of customer complaints, and cumbersome operations of customer service personnel.
Solution:
Assist each user to import Service Cloud, integrate with case orders, develop a work order system, integrate the data plane with the internal system, and build a complete set of ETL to integrate customer information into SFDC.
Result:
The customer has a complete service channel and optimized the service process. In addition to reducing the daily operations of the customer service staff, it can also effectively analyze the KPIs of each staff","Challenges:
客戶沒有一套完整的客服系統、客戶資料四散各地，且無法效分析客服人員的KPI，導致無法改善服務品質，客戶抱怨率提升，且客服人員的日常作業繁雜，時常需要跨系統查看客戶資訊
Solution:
協助各戶導入Service Cloud，與案件單結合，並開發工單系統，數據面與內部系統整合，做了一整套的ETL，把客戶資料統一整合至SFDC
Result:
客戶擁有了一個完整的服務渠道，優化了服務流程，在減少客服人員的日常作業外，也能夠有效分析各人員的KPI",,Yes
coolbitx,,,,,,Yes,,Taiwan,,,,,,,,,,No
CoSun,Amos,"B2B, Real Estate",Salesforce,"Apex, Visualforce",Amos Chuang,No,,Taiwan,,Amos Chuang,Amos Chuang,,Our client is a real estate agent company with more than 30 years of industry expertise. The goal of this project was to implement Sales Cloud and auto-generate property specification and reduce transaction time.,"Cosun是一家擁有 30 多年產業經驗的房地產代理公司。我們需要替客戶打造房仲租賃買賣銷售流程系統，可以自動生成物件說明書，減少交易的時間。
","Challenge:
Real estate is a traditional industry that is undergoing a technological transformation. Due to increased client expectations, the manual workload of the sales staff has become overwhelming.
Solution:
We set up Sales Cloud for our client. In addition to formalising the sales process, and customizing the product manuals, we made sure that all the relevant business data can be viewed with one click. We imported 20 years of files and data into Salesforce, which contains customer information, contact records, job Records, transaction records, etc.
Result:
The time it takes to process a transaction is reduced by 1/3, which greatly reduces labor costs, and the business can use the Salesforce App to manage its customers, cases, and activities anytime and anywhere. The improved transparency leads to better management decisions.","Challenges:
房地產面臨科技轉型，在近幾年房地產火熱的情況下，人工工作量日益增長，不堪負荷
Solution:
協助客戶導入Sales cloud，除了自動化銷售流程外，並客製化物件說明書，讓業務可以一鍵產出，數據面整理了20年份的卷宗，並匯入Salesforce，其中包含客戶資料、聯絡紀錄、工作紀錄、成交紀錄等等
Result:
處理一宗買賣案所需要花的時間減少1/3，大幅減少人工成本，以及業務可以使用Salesforce App隨時隨地管理自己的客戶、案件、活動，老闆也可以藉由報告、儀表板輕鬆的管理底下的業務。",,Yes
DeepBlu,Alan,"Software, Start-ups","APP, Maintenance",,,No,,Taiwan,https://www.deepblu.com/discover/live,,,,"Our client is a diving community with its own diving-related products and a social media app. Our project entailed the maintenance and further development of the app, which was originally developed by a third party",Deepblu 是結合潛水社群並擁有自己的潛水相關產品和APP的公司。我們的任務是針對該公司原先由第三方開發的APP進行維護及開發。,"Challenges: The app had a lot of bugs and no documentation, so it took us a while to structure and debug the code, before we could start further development.
Solution: We documented the code, thus making further development possible and efficient.
Result: The project was delivered on time and as per the required specs","Challenges挑戰/主要問題:  該APP應用程式有很多bug及錯誤，因此在我們進一步開發之前，我們花了很多的時間來重新架設代碼和除錯。
Solution 解決方便/導入過程：我們開發的過程中完整地記錄了代碼，使我們開發更有效率。
Result : 該專案按時按質交付。",,Yes
Deloitte - Amway,Amos,Retail,"Data Analysis, Internal, Salesforce",Talend,Alan Feng,Yes,https://4idps.com/wp-admin/post.php?post=2694&action=edit,"Taiwan, United States",,Alan Feng,Jin Yen,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/amwayTalend.zip, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Amway_Talend.docx, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Amway_Talend.pdf","Our client is a world famous direct sales company. The project was to develop an ETL to process records from several databases, and importing the results to Salesforce for future marketing needs.",客戶是台灣領先的直銷品牌，希望能開發一個 ETL 來處理多個數據庫的資料，並且需要將數據資料整合導入到 Salesforce 以滿足未來的營銷需求。,"Challenge:
We needed to work in a closed environment for security reasons, which made it difficult for the team members to interact and discuss the approach with client's representatives.
Solution:
We allocated a system architect 2 times a week to discuss with  the developer and help him build a clean & high-performance data process flow.","Challenges挑戰/主要問題: 由於開發的環境較為封閉，開發過程很難有其他員工互相討論的機會。
Solution 解決方便/導入過程：安排系統架構師密集與開發人員共同協作，確保開發出高效能的process flow。",,Yes
Deloitte - 遠百 ETL,Amos,Retail,"Data Analysis, Internal, Salesforce",SSIS,Alan Feng,Yes,https://4idps.com/wp-admin/post.php?post=2696&action=edit,Taiwan,,Alan Feng,Jin Yen,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/FClient-20200504T081359Z-001.zip, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/SSIS_FClient_Doc.docx, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/SSIS_FClient_Doc.pdf",Our client is a large retail company. Our client asked us to develop an ETL to process hundreds of thousands of records daily to Salesforce so they could do target marketing using Marketing cloud.,客戶是國際性的零售商，希望能開發一個 ETL 來處理每天向 Salesforce 發送的數十萬條記錄，以便他們可以使用Marketing cloud進行目標開發。,"Challenges:
1. We had to use a very specific tool to deliver this ETL on client's request, and we were not familiar with it.
2. The spec and schedule underwent several drastic changes.
Solutions:
1. We learned to master the tools the client wanted us to use in this project.
2. We adapted our schedule daily in order to fit our client's timeline
Result:
The project was delivered to the client's full satisfaction","Challenges挑戰/主要問題: 1) 指定需使用特定的工具來交付我們不熟悉的 ETL。2) 規格和時程表變動多。
Solution 解決方便/導入過程：1. 我們能夠學習並掌握他們在這個項目中指定使用的工具。 2. 在緊急要求下，我們也能按時交付。
Result : 該專案按時按質交付。",,Yes
Deloitte SQL Stored Procedures(ASE),Amos,"Consulting, Manufacturing","Data Analysis, KRI","MSSQL, STORED PROCEDURE",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=2699&action=edit,Taiwan,,Amos Chuang,Amos Chuang,,"Our customer operates in the market for semiconductor packaging. The project involved both data processing and data visualization, which enable the company to conduct essential audit analyses.",我們的客戶經營半導體封裝市場。專案涉及數據處理和數據可視化，使公司能夠進行必要的審計分析。,"Challenge:
The analysis of critical risk indicators was necessary for the purpose of internal auditing.
Solution:
Developed MS SQL Stores Procedures, which were then exported to Tableau in order to produce reports and dashboards.
Result:
We complied with the relevant internal audit regulations.","Challenges:
為符合企業內部稽核需求，需要進行關鍵風險指標分析。
Solution:
我們開發了MS SQL Store Procedures，並將結果輸出至Tableau，以產生報告和儀表板。
Result:
專案通過內部稽核相關規定",,Yes
